"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",21313762.7832279,0.488536772839741,NA,NA,20548057.0218231,0.50938618360327,34282517.9400357,0.797565137653666,24867735.7947523,0.715247664532494,15513621.3263934,0.711697770618036
"2004",19837296.056364,0.535559590433319,21619746.6987665,0.61824870955221,NA,NA,22167669.6768965,0.732362124638886,20287104.56691,1.02023748315307,14936619.0726637,0.674093360545914
"2005",23099496.0052269,0.41569270107957,NA,NA,22603828.0359354,0.463958788527726,27209492.0395274,0.700786225585239,31418964.7790379,0.629298081142238,14690144.7575954,0.632007585978879
"2006",9152950.63835632,0.485115830512576,9610709.61687676,0.547613248535423,NA,NA,14535782.1661143,0.813592484666047,15213453.7573753,0.721100391709053,4606238.07422778,0.726023580776995
"2007",16171562.8395988,0.450117316869164,NA,NA,15152225.5240258,0.46248564506738,17304924.4375548,0.717097267172807,40195190.3006586,0.648399330829819,4149921.60884069,0.698318310192409
"2008",15052096.8823816,0.469964083006658,15405712.8108195,0.537544408402006,NA,NA,18592167.7648879,0.668412619080051,30173726.7664037,0.650988704201163,5234553.73249474,0.766822170030988
"2009",7447815.06454743,0.480028059137789,NA,NA,7203373.49331552,0.508640620020776,8700853.49125263,0.693361754651316,20048423.4270125,0.681871414693059,1660214.67767796,0.758765403796159
"2010",38064285.9838714,0.413680856545101,39730091.1856995,0.490799445334867,NA,NA,53446318.5955726,0.692598178490503,76320779.9094515,0.561992588901034,13204370.9482331,0.748926194591967
"2011",25505822.5636594,0.406823655882641,NA,NA,24493610.3953801,0.44816916399785,30197294.642516,0.632865160063814,54412912.6348868,0.616539494812502,9762316.01903441,0.611454889746677
"2012",14586352.3073845,0.458326823808513,15553341.9197529,0.527526579916862,NA,NA,18433180.5057856,0.810133564840004,41858693.1860695,0.733061404285833,6312768.92353133,0.597971933019239
